Complaint ID,Date received,Product,Issue,Company,State,Consumer complaint narrative,narrative_word_count,c1_score,c1_label,c1_evidence_quotes,c1_human_override,c2_abs_code,c2_abs_amount,c2_rel_score,c2_rel_label,c2_psych_harm,c2_evidence_quotes,c2_human_override,c3_emotions_json,c3_tier_json,c3_inference_pattern_json,c3_evidence_quotes,c3_human_override,c4_score,c4_label,c4_use_type,c4_evidence_quotes,c4_human_override,review_status,reviewer_id,review_notes
11380835,2025-01-04,"Money transfer, virtual currency, or money service",Fraud or scam,"Paypal Holdings, Inc",,"I filed a Paypal claim against a seller in Massachusetts from whom I purchased an item that was misrepresented to me. When I received the item, I contacted the seller to let her know that the item was not as she described and not acceptable, and that I wished a refund in accordance with her website 's stated refund policy. She promptly blocked me without any response. I made a claim to Paypal, and submitted numerous photos of the item I received along with screenshots of what was advertised, testimonials, and also informed them that the seller blocked me. This was XXXX XXXX. I sent the item back to the seller XXXX XXXX and it was delivered XXXX XXXX, and I provided proof of this. I expected a refund at that point. 

In the meantime, Paypal has continued to make repeated demands for photos, proof and tracking information, which I have provided multiple times. They also demanded at least three times, after I informed them the item was returned to the seller, that I provide an evaluation of the item from an independent party showing the item was not as described. And all this has been done under the threat that if I do not provide this information, they will decide the case in favor of the seller. 

First of all, as the buyer, I am the one who decides if an item is acceptable to me or not, as is my right as a customer. Secondly, I no longer have the item in my possession to bring to any independent party to make such an evaluation. I contacted Paypal last week, and the agent removed the request for an evaluation. They once again made a request for an independent evaluation this past week. I again contacted them and told them the item has been returned to the seller and delivered. I did attempt to get a third-party authenticator to at least look at the photos and try to render an opinion, but they informed me they were unable to do such an evaluation, and I have provided that communiqu to Paypal. And today, for a third time, Paypal asked for tracking information and for me to provide a third-party evaluation. 

There should be no more demands or discussion and they should just issue a refund at this point of the {$1500.00} I paid for an item that was not as it was advertised and not acceptable to me and has been returned. It is not as if I have retained the item in my possession and am demanding a refund. I would add that in addition to all the photos I took and provided to them, I also have video footage of the unboxing of the item in question and the repacking of it for shipment, which I have repeatedly offered to provide Paypal, but never received any answer from them. Instead of refunding, Paypal is being obstinate, hostile and unreasonable. Where is their buyer protection that they tout? This is also false advertising on their part. 

I would appreciate it if there is something you can do to help me recover my funds or can intervene in this matter because Paypal 's conduct here is egregious. 

Thank you in advance.",542,,,,,,,,,,,,,,,,,,,,,,,,
11415830,2025-01-07,"Money transfer, virtual currency, or money service",Fraud or scam,Meta Payments Inc.,ND,"XXXX and XXXX "" META '' have allowed a scammer to make a META accountwith my name, which allowed them access to my personal XXXX XXXX XXXX XXXX ( XXXX XXXX ) and they are running bit coin ads to deceive my XXXX friends that i manage a bit coin company to maximize clients profits. They want my friends to XXXX them so they can get access to theiraccounts and steal their money. Sometimes i can change the password and get in to my account briefly to take down their ads and fraudulent impersonating stories on my XXXX. I have a screenshot i can share of proof. But i cant 100 % remove the hackerbecause he has two factor authetnication on my profile and somehow got it verfied that its him/her. They also removed my login access from all my computers and phones and removed my original email ( XXXX ) in leui for their email ( XXXX, & XXXX ). not to mention they have hacked into my personal XXXX and changed my apple settings so they could get copies of my texts through XXXX. XXXX isnt secure for the record, but i have enabled XXXX on my XXXX since then. This started in XXXX XXXX XXXX when i had a unknown login attempt from XXXX. I live in North Dakota, neverbeen out of north american. They also are logged in from a PC on a meta account in XXXX, WA. I cant un-log them in without a META passowrd which has to be reset via XXXX. I am suffering from Lack of XXXX assistance from a real person to disable this account, i even paid XXXX $ a month for premium access to supportteam and they did nothing.It is embarassing and slandering my professional name, notto mention the tens of people contacting me about bitcoin buisness and its not true i dont even own bitcoin.",317,,,,,,,,,,,,,,,,,,,,,,,,
11565628,2025-01-16,"Money transfer, virtual currency, or money service",Fraud or scam,"CITIZENS FINANCIAL GROUP, INC.",NY,"On XX/XX/year>2024 I received a phone call. The name that came up was XXXXXX/XX/XXXX ( I do not have an account there ). The person ( who spoke without an accent ) informed me that someone had tried to open an account with my information. Once I informed them it was not me, they then told me the person had hacked my XXXX account and was trying to make two transfers. 

In order to reverse these transfers, I had to follow his instructions which were to enter the amount and "" send '' money ( he said that's not what I was doing, even though it seemed that way ) with a special code in the memo. The code was several numbers. I did this from both my checking and savings account and ended up losing {$2100.00}. This was just about everything I had at that time. I do not remember getting the "" extra warning '' that I was sending to a new recipient, etc. 

It should be noted that at this time, I was a few days home from aXX/XX/XXXXXXXX and on major pain killers. The person on the line asked me if I had spent some time in the last week on public wifi, which I had in the hospital ( I believe they knew I had recently gotten out of the hospital ). 

I should have realized this was a scam immediately, but with the pain meds and the fact that I had indeed just spent much time on public wifi, I didn't catch it. But I realized as soon as I hung up. 

I went immediately to my bank ( Citizens ). They told me they would look into it but didn't think they would be able to help. I also filed a police report, about which I have heard nothing. I got a letter from Citizens stating that I had been denied and they would not return any of the money. 

I called, waited on hold for over and hour to speak to a "" manager '' who rudely told me that I had authorized the transfer and despite the way the scammers played on me and despite my highly medicated state, they would re-evaluate, but again they didn't think they could help me. They said they would send me another letter with their decision, which they never did. I have heard nothing since and have given up on trying to recover any money. I am REALLY hoping you can help. Thank you.",419,,,,,,,,,,,,,,,,,,,,,,,,
11577188,2025-01-16,"Money transfer, virtual currency, or money service",Fraud or scam,WELLS FARGO & COMPANY,PA,"On XX/XX/XXXX and XXXX of XXXX, I was a victim of fraudulent activity and theft on my Wells Fargo Savings and Checking Accounts that I did not authorize. Below are step-by-step occurrences of the following crimes committed. 

( XX/XX/XXXX ) My savings account of {$4000.00} was externally compromised. 

( XX/XX/XXXX ) The perpetrator fraudulently transferred {$4000.00} from my savings account - to my checking account. 

( XX/XX/XXXX ) My savings account was left with only {$0.00}. 

( XX/XX/XXXX XXXX ) The perpetrator then fraudulently made XXXX separate transactions through my checking account, resulting in a theft of {$3800.00} BELOW ARE ALL THE FRAUDULENT TRANSACTIONS MADE ON MY CHECKING ACCOUNT : -- {$1400.00} ( FRAUDULENT XXXX  TRANSACTION ON XX/XX/XXXX ) -- -- {$550.00} ( FRAUDULENT XXXX MONEY TRANSFER ON XX/XX/XXXX ) -- -- {$1000.00} ( FRAUDULENT XXXX MONEY TRANSFER ON XX/XX/XXXX ) -- -- {$890.00} ( FRAUDULENT XXXX MONEY TRANSFER ON XX/XX/XXXX ) -- On XX/XX/XXXX - XXXX received an unrecognizable package containing XXXX torn-up hats delivered to my address from XXXX ' that I never ordered or confirmed as an authorized purchase with Wells Fargo. 

After investigation, Wells Fargo determined 3 of the XXXX transactions to be fraud and refunded me the lost funds. Wells Fargo, however, denied the following claim and proceeded to reverse the credit of {$1400.00} from my account on ( XX/XX/XXXX ) : -- {$1400.00} ( FRAUDULENT XXXX  TRANSACTION ON XX/XX/XXXX ) -- Wells Fargo told me this claim is closed and that Im automatically responsible for the missing {$1400.00} dollars charged to my account due to the "" product '' being delivered and the merchant having a "" compelling case. '' After researching this company, the supposed website the "" purchase '' was made from, did not exist. 

My main issue with Wells Fargo is how such a large transaction was made on my account in the first place without any contact from Wells Fargo via mobile app notification, text, or call. There were no security alerts. All transactions I make are always sent to me. These transactions, however, were not. My bank history has shown that I have never made such large transactions/purchases for Wells Fargo to approve of this transaction without reporting suspicious activity. 

I was given no opportunity to speak with Wells Fargo before they came to a final decision on my claim. When I asked for more details, I was told that it was an authorized transaction and that my claim was closed and could not be reopened. Wells Fargos lack of security/communication on this transaction, as well as providing information regarding more details of this transaction, where the transaction was made, how the transaction was made, or if a CVV code was used- is the cause for my complaint; forcing me to continue to take further action in resolving this crime committed against me. 

Wells Fargo determined the other transactions made on my account ( XXXX ) to be fraudulent ; however, they determined this particular transaction as legitimate ; even though this transaction was made on XX/XX/XXXX ( the same day my account was compromised. ) After further research, I found Wells Fargo was the victim of a data breach in XX/XX/XXXX ( when this theft occurred. ) However, Wells Fargo never acknowledged this. Instead, they made a final decision and closed my case. 


I hope Wells Fargo can come to an understanding so that we can further resolve this issue. 

As of XX/XX/XXXX : I have filed a complaint to XXXX ( Internet Crime Complaint Center ) I am in the process of filing a police report with the local police regarding this issue. 

I will also take any additional steps needed and will provide any information regarding this theft.",622,,,,,,,,,,,,,,,,,,,,,,,,
11600288,2025-01-21,"Money transfer, virtual currency, or money service",Fraud or scam,"Block, Inc.",FL,"XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX Date : XX/XX/year> To : Consumer Financial Protection Bureau XXXX CFPB ) XXXX XXXX XXXX Washington XXXX XXXX XXXX Re : Formal Complaint Against Cash App Regarding Fraud, Poor Customer Service XXXX and Unresolved Disputes Dear Sir/Madam, I am writing to file a formal complaint against Cash App, a financial services product operated by Block, Inc. XXXX XXXX XXXX as Square, Inc. XXXX, due to ongoing issues I have experienced with their services. I am particularly concerned about these problems in light of recent lawsuits filed against Cash App, which highlight systemic issues that have negatively impacted my experience and that of other consumers. 

Summary of Issues : Fraudulent Activity & Unauthorized Transactions : I have been affected by fraudulent or unauthorized transactions on my Cash App account on multiple occasions. These transactions were either charged without my consent or resulted from account breaches. Despite my repeated requests for assistance, Cash App has failed to resolve these issues in a timely manner or provide adequate compensation. I have contacted their support team on several occasions, but the response has been slow and unhelpful. I am left with unresolved issues, leading to financial losses. 
XXXX XXXX XXXX Customer Service : Cash App 's customer service has been unresponsive and ineffective in addressing my concerns. On multiple occasions, I have attempted to resolve these issues through the support system, but I have faced long wait times, generic responses, and lack of action on my account. As a consumer, I feel that Cash App has not made reasonable efforts to assist me in resolving these issues, leaving me without recourse. 
Concerns Raised by Recent Lawsuits : I am aware of recent lawsuits filed against Cash App that highlight major concerns regarding the company 's failure to protect consumer interests, particularly in regard to fraudulent transactions and poor customer support. These lawsuits include : Case # XXXX : A class action lawsuit regarding Cash App 's failure to protect consumers from unauthorized transactions, including instances where users were unable to get refunds for fraud-related charges. 
Case # XXXX : A lawsuit alleging that Cash Apps customer service fails to resolve disputes in a timely manner and has left consumers stranded without a solution for months. 
These legal challenges are indicative of a pattern of behavior that directly impacts my experience with Cash App. I feel that my rights as a consumer have been violated, and Cash App has not demonstrated a sufficient commitment to consumer protection. 
Request for Action : I am requesting that the Consumer Financial Protection Bureau ( XXXX ) investigate the following : Inadequate fraud protection : XXXX XXXX XXXX failure to promptly address and resolve fraudulent transactions and unauthorized charges, leaving consumers vulnerable to financial losses. 
Deficient customer service : Cash Apps unresponsive and ineffective customer service, which has caused undue stress and further delayed the resolution of my issues. 
Systemic failure to resolve disputes : The widespread nature of unresolved disputes and complaints against Cash App, as indicated by the ongoing lawsuits. 
Details of My Account : Cash App Username : XXXX XXXX I believe that these issues are not isolated incidents but part of a broader problem with Cash Apps business practices, particularly with regard to consumer protections and dispute resolution. I am requesting that the CFPB take appropriate action to ensure that Cash App is held accountable for its practices and that consumers are better protected moving forward. 

Thank you for your attention to this matter. I look forward to your response and hope that you will take prompt action to resolve these concerns. If you require any further information or documentation regarding my complaint, I am happy to provide it. 

Sincerely, XXXX XXXX",626,,,,,,,,,,,,,,,,,,,,,,,,
11743531,2025-01-24,"Money transfer, virtual currency, or money service",Fraud or scam,AMERICAN EXPRESS COMPANY,FL,"Dear Consumer Financial Protection Bureau, I hope this letter finds you well. My name is XXXX XXXX XXXX XXXX XXXX, and I am the owner of XXXX XXXX XXXX, a business consulting company based in XXXX, FL. I am also an XXXX military member who has been XXXX since XX/XX/year>. I am writing to formally express my concern regarding an unauthorized ACH payment that was debited from my XXXX XXXX account XXXX in the amount of {$140000.00}, which I discovered to have been processed through American Express. 

On XX/XX/year> to XX/XX/year>, I noticed an unauthorized transaction on my XXXX XXXX account, which I promptly reported to both XXXX XXXX and American Express for investigation. After thorough review, I have been informed that XXXX XXXX sent recovery funds to American Express as part of their late ACH recovery process. However, American Express has denied receiving the funds, leaving me in a vulnerable position without the recovery of my lost funds. 

As a result of this dispute and lack of resolution, I have suffered a financial loss of approximately {$100000.00}. Despite my diligent efforts and submission of all necessary documentationincluding a police report, XXXX XXXX XXXX XXXX report, and an affidavit detailing the unauthorized ACH transaction and recovery attemptsneither institution has taken the appropriate action to resolve the issue or refund the funds to my account. 

This situation is especially distressing as I am currently XXXXXXXX XXXX in service to our country, which makes it even more difficult to address these matters in person. I am fully aware of my rights as both a consumer and a victim of fraud, and I believe that I have provided ample evidence to support my claim. I would greatly appreciate it if you could review this matter urgently and work with me to resolve it promptly. I expect a full refund of the unauthorized ACH transaction, as I have been a loyal customer of both XXXX XXXX and American Express for many years, and this issue should have been addressed much earlier. 

For your reference, I have attached the following documents to substantiate my claim : Police Report detailing the unauthorized ACH transaction. 

XXXX XXXX XXXX XXXX report regarding the late ACH recovery funds. 

Affidavit outlining the details of the transaction and the recovery process. 

Correspondence between myself, American Express, and XXXX XXXX. 
Please provide a written response within [ X ] business days, as I would like this matter resolved as soon as possible. I am more than willing to cooperate with your team to resolve this issue and ensure that justice is served. 

Thank you for your immediate attention to this matter. I look forward to your swift resolution of this issue. Should you require any additional information or documentation, please do not hesitate to contact me at XXXX and XXXX XXXX",469,,,,,,,,,,,,,,,,,,,,,,,,
11799736,2025-01-27,"Money transfer, virtual currency, or money service",Fraud or scam,"Paypal Holdings, Inc",TX,"Leading up to XX/XX/XXXX I was talking with someone online who had convinced me to help them send money for some antiques they were supposedly getting and needed to make a down payment on. I foolishly agreed to help and while they told me they had wired a transfer over it had not come in so they sent me a check to deposit and than send through PayPal. I got caught up in the strangeness of the situation and sent the money when it "" deposited '' through my bank. After doing so it hit me how foolish it was and I did what I could to undo the action. I put a dispute in with PayPal and notified my bank of the potential fraudulent check. My bank has been helpful and I've since made a new account and am working on transferring all my assets and payments to the new account. PayPal however does not see anything wrong since it was through me and it doesn't have protection because I incorrectly put it through friends and family and not business which is protected. I have put in complaints but they told me to try and resolve it with the person I sent it to and has stopped responding to my complaints and won't let me file another claim as they view it as closed. I had messaged the person saying I think this was part of a scam but they replied no it's not and I'm now no longer able to send messages to them. I've cut off contact with the original scammer who I was messaging through telegram.The check I was sent has since bounced and I do not have the money in my account but PayPal is still trying to charge me and I believe that they will likely not stop and put a bad mark on my credit for not paying even tho they sent money before even taking it from me and are trying to take it out after the check has already been rejected. I'm seeing what I can do but PayPal seems unlikely to help me so I read online to report it to this organization. I have also already placed complaints with the ftc and XXXX. The closed case despute with PayPal is case number XXXX for transaction XXXX. I was not aware that money laundering had gotten so advanced and want to help others from falling for the same traps that I did. Ideally I'd like to prevent PayPal from marking my credit more than it already is but I am unsure of what else I can do to resolve it with them besides paying XXXX worth that I do not have.",451,,,,,,,,,,,,,,,,,,,,,,,,
11811866,2025-01-29,"Money transfer, virtual currency, or money service",Fraud or scam,"CITIBANK, N.A.",NY,"I am submitting this formal complaint regarding a wire transfer transaction that I initiated from my Citibank account, which resulted in financial loss due to potential fraud and mishandling by both Citibank and XXXX XXXX. 

Summary of the Issue On XX/XX/XXXX, I approved a wire transfer of {$11000.00} from my Citibank account to a recipient 's XXXX XXXX account. I mistakenly listed the beneficiary as XXXX XXXX instead of the intended payee 's company name. This resulted in the recipient being unable to claim the funds initially. 

Realizing that the transaction seemed suspicious, I promptly contacted Citibank the next business day which is XX/XX/XXXX to request a recall of the funds. Shortly thereafter, a representative from XXXX XXXX cantacted me first to ask about this transaction and confirmed that the {$11000.00} was indeed present in their system. I explaned the situation saying that I filed a fraud claim with Citibank and asked them not allow the payee withdraw the money and assured me that it would not be released to the recipient. Based on this assurance, I believed my money was secure. 

However, despite my proactive steps, I was shocked to learn on XX/XX/XXXX, that the recipient had withdrawn the full {$11000.00} on XX/XX/XXXX, without my authorization. I found that when I called Citibank to see the status of my recall and now the person at the wire department told me that she see the confirmation of withdrawn. When I contacted Citibank few minutes later to request trace or payment confirmation, another person at the same wire department told me that since money was gone, now I should be on my own to get this money back. XXXX XXXX, meanwhile, has refused to provide any details regarding the transaction, stating that I am not their customer. 

Concerns and Violations 1. Citibank 's Failure to Act Swiftly on the Recall Request I reported the issue the very next business day, yet Citibank failed to secure or recover my funds. They did not provide timely updates on the recall request. I called Citibank more than 20 times, talked with many differnet people at the fraud department and wire department and I only discovered the unauthorized withdrawal after two months.Even after the withdrawl, the did not even try to inform me. Their response was dismissive, stating that I am now solely responsible for the loss. 

2. XXXX XXXX 's Negligence in Allowing the Withdrawal A XXXX XXXX representative explicitly assured me that my funds would not be released, yet the money was withdrawn despite their acknowledgment of my concerns. 
XXXX XXXX has refused to provide me with any trace details or confirmation of payment, citing that I am not their customer, despite my funds being involved in their banking system. 

Request for Investigation and Resolution Given the mishandling of this transaction and the potential fraudulent activity, I am requesting : 1. A full investigation into Citibank 's and XXXX XXXX 's handling of this wire transfer, including their processes for fraud claims and recall requests. 
2. A detailed explanation of why Citibank failed to recall the funds in a timely manner despite my early intervention.

3. An inquiry into XXXX XXXX 's failure to prevent the withdrawal after acknowledging my concern, including their internal fraud prevention measures. 
4. Assistance in recovering my {$11000.00}, as both banks failed to act responsibly. 

I believe both Citibank and XXXX XXXX have acted negligently, and I request that they be held accountable for their actions. Please let me know the next steps regarding this complaint and any additional information you require. 

Thank you for your time and assistance in this matter. 

Sincerely,",605,,,,,,,,,,,,,,,,,,,,,,,,
11817372,2025-01-29,"Money transfer, virtual currency, or money service",Fraud or scam,ROBINHOOD MARKETS INC.,CA,"XXXX XXXX [ XXXX ] [ XXXX ] [ XX/XX/XXXX ] Consumer Financial Protection Bureau XXXX XXXX XXXX XXXX XXXX, XXXX XXXX Re : Formal Complaint Against XXXX for Account Restrictions and Failure to Resolve Issues Dear Sir/Madam, I am writing to file a formal complaint against Robinhood Markets , Inc. regarding the wrongful restriction of my account and the severe financial harm this has caused. As a XXXX customer, I have encountered significant difficulties in accessing and managing my funds, including cryptocurrency holdings, due to ongoing account restrictions that XXXX has failed to resolve in a timely and transparent manner. 

Background of Complaint I am a verified XXXX user who has followed all required identification and verification processes as outlined by the platform. Despite complying with their protocols multiple times, my account was inexplicably restricted, preventing me from transferring cryptocurrency to my personal cold storage wallet. 

Account Restriction : Initially, XXXX informed me that the restriction would be lifted on XX/XX/XXXX. However, the restriction period has since been extended with no valid explanation. 

Financial Harm : As a result, I have been unable to access or transfer my cryptocurrency holdings, which has caused me significant financial loss due to market fluctuations. 

Customer Support Failures : XXXX has disabled its 24/7 chat support and phone support, forcing me to rely solely on email communication. However, their responses have been inadequate, generic, and non-informative, simply stating : Were still reviewing your account. We may request documents in the app during our review, so please continue to monitor your app and reply to any requests. Despite multiple follow-ups, no concrete action has been taken, and the issue remains unresolved for over a week. 

Ongoing Difficulties I am now left with a significant amount of money in my locked account, unable to access or transfer these funds as I see fit. I have made multiple attempts to reach XXXX for clarification or resolution, but they continue to push back the resolution date and provide no meaningful updates. 

The lack of responsiveness from XXXX customer support team, combined with the ongoing restriction of my account, has caused me significant distress and financial harm. I am aware that other customers have experienced similar issues, leading me to believe that this is a systemic problem affecting multiple users. 

Request for Action Given the severity of the situation, I request that the Consumer Financial Protection Bureau ( CFPB ) investigate Robinhood for the following reasons : Failure to Provide Adequate Support : XXXX has not provided sufficient or timely responses to my inquiries and has disabled critical customer support channels. 
Unjust Account Restrictions : XXXX has imposed account restrictions without providing any legitimate explanation or justification, causing financial harm to its users. 
Failure to Resolve Ongoing Issues : Despite multiple attempts on my part to resolve this issue, XXXX has continued to push back the resolution timeline and has failed to take any meaningful action to restore access to my account. 
I am requesting that the CFPB take immediate action to ensure that XXXX resolves this issue, lifts the restrictions on my account, and compensates affected customers for the financial harm caused. Additionally, I urge the CFPB to investigate XXXX practices regarding account restrictions and customer support, as this issue may extend to a large number of other consumers. 

Conclusion I am hopeful that the CFPB will address this serious issue and assist in ensuring that XXXX resolves this matter expeditiously. Thank you for taking the time to review my complaint. I look forward to your assistance in lifting the restriction on my account and ensuring that XXXX is held accountable for its actions. 

Please do not hesitate to contact me at ( XXXX ) XXXX or my email XXXX should you need further details or documentation related to this complaint. 

Sincerely, XXXX XXXX",637,,,,,,,,,,,,,,,,,,,,,,,,
11818430,2025-01-28,"Money transfer, virtual currency, or money service",Fraud or scam,"Coinbase, Inc.",FL,"On XX/XX/year>, I made my last authorized transaction on my Coinbase account, which was a send transaction of XXXX XXXX. Shortly after, a series of unauthorized transactions took place, indicating that my account was compromised. 

Between XX/XX/scrub>XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, the following unauthorized transactions occurred : XXXX. Send Transactions ( Unauthorized XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX ( {$4800.00} USD ) XXXXXXXX XXXX sent to XXXX ( {$980.00} USD ) XXXXXXXX XXXX sent to XXXX ( {$2800.00} USD ) XXXX XXXX sent to XXXX ( {$2100.00} USD ) XXXX. Buy & Sell Transactions ( Unauthorized Trading Activity ) : Purchased XXXX XXXX  for {$2000.00} USD Sold XXXX XXXX  for {$2000.00} USD Purchased XXXX XXXX  for {$4800.00} USD Sold XXXX XXXX  for {$4800.00} USD Purchased XXXX XXXX  for {$1200.00} USD Purchased XXXX XXXX  for {$600.00} USD I did not authorize any of these transactions, and they indicate that my account was accessed by an unauthorized party. At the time, all devices used to access my Coinbase account were in my possession. I have not experienced any SIM swap, phone service interruption, phishing emails, or malware infections on my devices.

Coinbases Failure to Provide Account Protection I am a Coinbase One subscriber, which Coinbase advertises as providing account protection against unauthorized activity. However, after reporting this security breach to Coinbase, they stated that account holders are responsible for securing their credentials. Despite following all security best practices and promptly reporting the fraud, Coinbase has not refunded my losses.

Escalation & Law Enforcement Involvement I have already reported this incident to law enforcement and am actively working with authorities. I request that Coinbase honor its account protection policies, investigate this security breach, and reimburse the funds lost due to this unauthorized access.

I am submitting this complaint to the CFPB to escalate this matter, as Coinbases failure to protect its customers violates consumer protection standards.",329,,,,,,,,,,,,,,,,,,,,,,,,
